"Camera","Class","Count","Operation","RAI","TimePeriod"
"A03","Bird",0,29,0,"april.2016"
"A13","Bird",0,18,0,"april.2016"
"B08","Bird",1,30,0.0333333333333333,"april.2016"
"B10","Bird",0,30,0,"april.2016"
"B12","Bird",0,18,0,"april.2016"
"B14","Bird",0,18,0,"april.2016"
"C03","Bird",0,28,0,"april.2016"
"C07","Bird",0,23,0,"april.2016"
"C09","Bird",0,30,0,"april.2016"
"C11","Bird",0,29,0,"april.2016"
"D04","Bird",0,30,0,"april.2016"
"D12","Bird",0,29,0,"april.2016"
"E05","Bird",1,28,0.0357142857142857,"april.2016"
"E09","Bird",0,30,0,"april.2016"
"E13","Bird",0,29,0,"april.2016"
"E15","Bird",0,22,0,"april.2016"
"F06","Bird",0,28,0,"april.2016"
"F08","Bird",0,30,0,"april.2016"
"F10","Bird",0,28,0,"april.2016"
"A03","Bobcat",0,29,0,"april.2016"
"A13","Bobcat",0,18,0,"april.2016"
"B08","Bobcat",0,30,0,"april.2016"
"B10","Bobcat",0,30,0,"april.2016"
"B12","Bobcat",0,18,0,"april.2016"
"B14","Bobcat",0,18,0,"april.2016"
"C03","Bobcat",0,28,0,"april.2016"
"C07","Bobcat",0,23,0,"april.2016"
"C09","Bobcat",0,30,0,"april.2016"
"C11","Bobcat",0,29,0,"april.2016"
"D04","Bobcat",0,30,0,"april.2016"
"D12","Bobcat",0,29,0,"april.2016"
"E05","Bobcat",1,28,0.0357142857142857,"april.2016"
"E09","Bobcat",0,30,0,"april.2016"
"E13","Bobcat",1,29,0.0344827586206897,"april.2016"
"E15","Bobcat",0,22,0,"april.2016"
"F06","Bobcat",0,28,0,"april.2016"
"F08","Bobcat",1,30,0.0333333333333333,"april.2016"
"F10","Bobcat",0,28,0,"april.2016"
"A03","Coyote",1,29,0.0344827586206897,"april.2016"
"A13","Coyote",1,18,0.0555555555555556,"april.2016"
"B08","Coyote",0,30,0,"april.2016"
"B10","Coyote",0,30,0,"april.2016"
"B12","Coyote",1,18,0.0555555555555556,"april.2016"
"B14","Coyote",0,18,0,"april.2016"
"C03","Coyote",2,28,0.0714285714285714,"april.2016"
"C07","Coyote",0,23,0,"april.2016"
"C09","Coyote",0,30,0,"april.2016"
"C11","Coyote",0,29,0,"april.2016"
"D04","Coyote",13,30,0.433333333333333,"april.2016"
"D12","Coyote",1,29,0.0344827586206897,"april.2016"
"E05","Coyote",0,28,0,"april.2016"
"E09","Coyote",1,30,0.0333333333333333,"april.2016"
"E13","Coyote",1,29,0.0344827586206897,"april.2016"
"E15","Coyote",1,22,0.0454545454545455,"april.2016"
"F06","Coyote",0,28,0,"april.2016"
"F08","Coyote",2,30,0.0666666666666667,"april.2016"
"F10","Coyote",1,28,0.0357142857142857,"april.2016"
"A03","Deer - Buck Antlerless",0,29,0,"april.2016"
"A13","Deer - Buck Antlerless",0,18,0,"april.2016"
"B08","Deer - Buck Antlerless",1,30,0.0333333333333333,"april.2016"
"B10","Deer - Buck Antlerless",1,30,0.0333333333333333,"april.2016"
"B12","Deer - Buck Antlerless",0,18,0,"april.2016"
"B14","Deer - Buck Antlerless",1,18,0.0555555555555556,"april.2016"
"C03","Deer - Buck Antlerless",0,28,0,"april.2016"
"C07","Deer - Buck Antlerless",0,23,0,"april.2016"
"C09","Deer - Buck Antlerless",0,30,0,"april.2016"
"C11","Deer - Buck Antlerless",0,29,0,"april.2016"
"D04","Deer - Buck Antlerless",5,30,0.166666666666667,"april.2016"
"D12","Deer - Buck Antlerless",1,29,0.0344827586206897,"april.2016"
"E05","Deer - Buck Antlerless",0,28,0,"april.2016"
"E09","Deer - Buck Antlerless",3,30,0.1,"april.2016"
"E13","Deer - Buck Antlerless",1,29,0.0344827586206897,"april.2016"
"E15","Deer - Buck Antlerless",0,22,0,"april.2016"
"F06","Deer - Buck Antlerless",0,28,0,"april.2016"
"F08","Deer - Buck Antlerless",1,30,0.0333333333333333,"april.2016"
"F10","Deer - Buck Antlerless",4,28,0.142857142857143,"april.2016"
"A03","Deer - Buck Legal",1,29,0.0344827586206897,"april.2016"
"A13","Deer - Buck Legal",0,18,0,"april.2016"
"B08","Deer - Buck Legal",2,30,0.0666666666666667,"april.2016"
"B10","Deer - Buck Legal",1,30,0.0333333333333333,"april.2016"
"B12","Deer - Buck Legal",1,18,0.0555555555555556,"april.2016"
"B14","Deer - Buck Legal",1,18,0.0555555555555556,"april.2016"
"C03","Deer - Buck Legal",0,28,0,"april.2016"
"C07","Deer - Buck Legal",0,23,0,"april.2016"
"C09","Deer - Buck Legal",0,30,0,"april.2016"
"C11","Deer - Buck Legal",3,29,0.103448275862069,"april.2016"
"D04","Deer - Buck Legal",0,30,0,"april.2016"
"D12","Deer - Buck Legal",0,29,0,"april.2016"
"E05","Deer - Buck Legal",0,28,0,"april.2016"
"E09","Deer - Buck Legal",1,30,0.0333333333333333,"april.2016"
"E13","Deer - Buck Legal",0,29,0,"april.2016"
"E15","Deer - Buck Legal",0,22,0,"april.2016"
"F06","Deer - Buck Legal",0,28,0,"april.2016"
"F08","Deer - Buck Legal",0,30,0,"april.2016"
"F10","Deer - Buck Legal",0,28,0,"april.2016"
"A03","Deer - Buck Spike",0,29,0,"april.2016"
"A13","Deer - Buck Spike",1,18,0.0555555555555556,"april.2016"
"B08","Deer - Buck Spike",4,30,0.133333333333333,"april.2016"
"B10","Deer - Buck Spike",1,30,0.0333333333333333,"april.2016"
"B12","Deer - Buck Spike",2,18,0.111111111111111,"april.2016"
"B14","Deer - Buck Spike",0,18,0,"april.2016"
"C03","Deer - Buck Spike",0,28,0,"april.2016"
"C07","Deer - Buck Spike",1,23,0.0434782608695652,"april.2016"
"C09","Deer - Buck Spike",0,30,0,"april.2016"
"C11","Deer - Buck Spike",1,29,0.0344827586206897,"april.2016"
"D04","Deer - Buck Spike",2,30,0.0666666666666667,"april.2016"
"D12","Deer - Buck Spike",5,29,0.172413793103448,"april.2016"
"E05","Deer - Buck Spike",0,28,0,"april.2016"
"E09","Deer - Buck Spike",6,30,0.2,"april.2016"
"E13","Deer - Buck Spike",2,29,0.0689655172413793,"april.2016"
"E15","Deer - Buck Spike",0,22,0,"april.2016"
"F06","Deer - Buck Spike",1,28,0.0357142857142857,"april.2016"
"F08","Deer - Buck Spike",4,30,0.133333333333333,"april.2016"
"F10","Deer - Buck Spike",3,28,0.107142857142857,"april.2016"
"A03","Deer - Buck Young Button",0,29,0,"april.2016"
"A13","Deer - Buck Young Button",0,18,0,"april.2016"
"B08","Deer - Buck Young Button",0,30,0,"april.2016"
"B10","Deer - Buck Young Button",0,30,0,"april.2016"
"B12","Deer - Buck Young Button",0,18,0,"april.2016"
"B14","Deer - Buck Young Button",0,18,0,"april.2016"
"C03","Deer - Buck Young Button",0,28,0,"april.2016"
"C07","Deer - Buck Young Button",0,23,0,"april.2016"
"C09","Deer - Buck Young Button",0,30,0,"april.2016"
"C11","Deer - Buck Young Button",0,29,0,"april.2016"
"D04","Deer - Buck Young Button",0,30,0,"april.2016"
"D12","Deer - Buck Young Button",1,29,0.0344827586206897,"april.2016"
"E05","Deer - Buck Young Button",0,28,0,"april.2016"
"E09","Deer - Buck Young Button",0,30,0,"april.2016"
"E13","Deer - Buck Young Button",0,29,0,"april.2016"
"E15","Deer - Buck Young Button",0,22,0,"april.2016"
"F06","Deer - Buck Young Button",4,28,0.142857142857143,"april.2016"
"F08","Deer - Buck Young Button",0,30,0,"april.2016"
"F10","Deer - Buck Young Button",2,28,0.0714285714285714,"april.2016"
"A03","Deer - Doe",4,29,0.137931034482759,"april.2016"
"A13","Deer - Doe",1,18,0.0555555555555556,"april.2016"
"B08","Deer - Doe",7,30,0.233333333333333,"april.2016"
"B10","Deer - Doe",1,30,0.0333333333333333,"april.2016"
"B12","Deer - Doe",2,18,0.111111111111111,"april.2016"
"B14","Deer - Doe",9,18,0.5,"april.2016"
"C03","Deer - Doe",1,28,0.0357142857142857,"april.2016"
"C07","Deer - Doe",5,23,0.217391304347826,"april.2016"
"C09","Deer - Doe",12,30,0.4,"april.2016"
"C11","Deer - Doe",5,29,0.172413793103448,"april.2016"
"D04","Deer - Doe",29,30,0.966666666666667,"april.2016"
"D12","Deer - Doe",6,29,0.206896551724138,"april.2016"
"E05","Deer - Doe",5,28,0.178571428571429,"april.2016"
"E09","Deer - Doe",19,30,0.633333333333333,"april.2016"
"E13","Deer - Doe",4,29,0.137931034482759,"april.2016"
"E15","Deer - Doe",0,22,0,"april.2016"
"F06","Deer - Doe",3,28,0.107142857142857,"april.2016"
"F08","Deer - Doe",44,30,1.46666666666667,"april.2016"
"F10","Deer - Doe",7,28,0.25,"april.2016"
"A03","Deer - Fawn",1,29,0.0344827586206897,"april.2016"
"A13","Deer - Fawn",0,18,0,"april.2016"
"B08","Deer - Fawn",1,30,0.0333333333333333,"april.2016"
"B10","Deer - Fawn",0,30,0,"april.2016"
"B12","Deer - Fawn",0,18,0,"april.2016"
"B14","Deer - Fawn",0,18,0,"april.2016"
"C03","Deer - Fawn",0,28,0,"april.2016"
"C07","Deer - Fawn",4,23,0.173913043478261,"april.2016"
"C09","Deer - Fawn",0,30,0,"april.2016"
"C11","Deer - Fawn",0,29,0,"april.2016"
"D04","Deer - Fawn",1,30,0.0333333333333333,"april.2016"
"D12","Deer - Fawn",0,29,0,"april.2016"
"E05","Deer - Fawn",0,28,0,"april.2016"
"E09","Deer - Fawn",6,30,0.2,"april.2016"
"E13","Deer - Fawn",1,29,0.0344827586206897,"april.2016"
"E15","Deer - Fawn",0,22,0,"april.2016"
"F06","Deer - Fawn",0,28,0,"april.2016"
"F08","Deer - Fawn",0,30,0,"april.2016"
"F10","Deer - Fawn",0,28,0,"april.2016"
"A03","Deer - Other",0,29,0,"april.2016"
"A13","Deer - Other",0,18,0,"april.2016"
"B08","Deer - Other",2,30,0.0666666666666667,"april.2016"
"B10","Deer - Other",2,30,0.0666666666666667,"april.2016"
"B12","Deer - Other",3,18,0.166666666666667,"april.2016"
"B14","Deer - Other",2,18,0.111111111111111,"april.2016"
"C03","Deer - Other",1,28,0.0357142857142857,"april.2016"
"C07","Deer - Other",3,23,0.130434782608696,"april.2016"
"C09","Deer - Other",6,30,0.2,"april.2016"
"C11","Deer - Other",8,29,0.275862068965517,"april.2016"
"D04","Deer - Other",7,30,0.233333333333333,"april.2016"
"D12","Deer - Other",1,29,0.0344827586206897,"april.2016"
"E05","Deer - Other",1,28,0.0357142857142857,"april.2016"
"E09","Deer - Other",3,30,0.1,"april.2016"
"E13","Deer - Other",1,29,0.0344827586206897,"april.2016"
"E15","Deer - Other",0,22,0,"april.2016"
"F06","Deer - Other",1,28,0.0357142857142857,"april.2016"
"F08","Deer - Other",2,30,0.0666666666666667,"april.2016"
"F10","Deer - Other",0,28,0,"april.2016"
"A03","Dog",0,29,0,"april.2016"
"A13","Dog",0,18,0,"april.2016"
"B08","Dog",0,30,0,"april.2016"
"B10","Dog",0,30,0,"april.2016"
"B12","Dog",0,18,0,"april.2016"
"B14","Dog",0,18,0,"april.2016"
"C03","Dog",0,28,0,"april.2016"
"C07","Dog",0,23,0,"april.2016"
"C09","Dog",0,30,0,"april.2016"
"C11","Dog",3,29,0.103448275862069,"april.2016"
"D04","Dog",0,30,0,"april.2016"
"D12","Dog",1,29,0.0344827586206897,"april.2016"
"E05","Dog",0,28,0,"april.2016"
"E09","Dog",0,30,0,"april.2016"
"E13","Dog",0,29,0,"april.2016"
"E15","Dog",0,22,0,"april.2016"
"F06","Dog",0,28,0,"april.2016"
"F08","Dog",0,30,0,"april.2016"
"F10","Dog",0,28,0,"april.2016"
"A03","Fox",0,29,0,"april.2016"
"A13","Fox",0,18,0,"april.2016"
"B08","Fox",0,30,0,"april.2016"
"B10","Fox",0,30,0,"april.2016"
"B12","Fox",0,18,0,"april.2016"
"B14","Fox",0,18,0,"april.2016"
"C03","Fox",1,28,0.0357142857142857,"april.2016"
"C07","Fox",1,23,0.0434782608695652,"april.2016"
"C09","Fox",1,30,0.0333333333333333,"april.2016"
"C11","Fox",0,29,0,"april.2016"
"D04","Fox",0,30,0,"april.2016"
"D12","Fox",5,29,0.172413793103448,"april.2016"
"E05","Fox",2,28,0.0714285714285714,"april.2016"
"E09","Fox",0,30,0,"april.2016"
"E13","Fox",0,29,0,"april.2016"
"E15","Fox",0,22,0,"april.2016"
"F06","Fox",0,28,0,"april.2016"
"F08","Fox",0,30,0,"april.2016"
"F10","Fox",1,28,0.0357142857142857,"april.2016"
"A03","Human",1,29,0.0344827586206897,"april.2016"
"A13","Human",1,18,0.0555555555555556,"april.2016"
"B08","Human",1,30,0.0333333333333333,"april.2016"
"B10","Human",0,30,0,"april.2016"
"B12","Human",1,18,0.0555555555555556,"april.2016"
"B14","Human",1,18,0.0555555555555556,"april.2016"
"C03","Human",1,28,0.0357142857142857,"april.2016"
"C07","Human",1,23,0.0434782608695652,"april.2016"
"C09","Human",0,30,0,"april.2016"
"C11","Human",1,29,0.0344827586206897,"april.2016"
"D04","Human",0,30,0,"april.2016"
"D12","Human",1,29,0.0344827586206897,"april.2016"
"E05","Human",1,28,0.0357142857142857,"april.2016"
"E09","Human",0,30,0,"april.2016"
"E13","Human",1,29,0.0344827586206897,"april.2016"
"E15","Human",1,22,0.0454545454545455,"april.2016"
"F06","Human",1,28,0.0357142857142857,"april.2016"
"F08","Human",0,30,0,"april.2016"
"F10","Human",1,28,0.0357142857142857,"april.2016"
"A03","Jack_Rabbit",0,29,0,"april.2016"
"A13","Jack_Rabbit",0,18,0,"april.2016"
"B08","Jack_Rabbit",0,30,0,"april.2016"
"B10","Jack_Rabbit",0,30,0,"april.2016"
"B12","Jack_Rabbit",0,18,0,"april.2016"
"B14","Jack_Rabbit",0,18,0,"april.2016"
"C03","Jack_Rabbit",8,28,0.285714285714286,"april.2016"
"C07","Jack_Rabbit",0,23,0,"april.2016"
"C09","Jack_Rabbit",0,30,0,"april.2016"
"C11","Jack_Rabbit",0,29,0,"april.2016"
"D04","Jack_Rabbit",3,30,0.1,"april.2016"
"D12","Jack_Rabbit",0,29,0,"april.2016"
"E05","Jack_Rabbit",10,28,0.357142857142857,"april.2016"
"E09","Jack_Rabbit",0,30,0,"april.2016"
"E13","Jack_Rabbit",0,29,0,"april.2016"
"E15","Jack_Rabbit",0,22,0,"april.2016"
"F06","Jack_Rabbit",0,28,0,"april.2016"
"F08","Jack_Rabbit",0,30,0,"april.2016"
"F10","Jack_Rabbit",0,28,0,"april.2016"
"A03","Mountain_Lion",0,29,0,"april.2016"
"A13","Mountain_Lion",0,18,0,"april.2016"
"B08","Mountain_Lion",0,30,0,"april.2016"
"B10","Mountain_Lion",0,30,0,"april.2016"
"B12","Mountain_Lion",0,18,0,"april.2016"
"B14","Mountain_Lion",0,18,0,"april.2016"
"C03","Mountain_Lion",1,28,0.0357142857142857,"april.2016"
"C07","Mountain_Lion",0,23,0,"april.2016"
"C09","Mountain_Lion",0,30,0,"april.2016"
"C11","Mountain_Lion",0,29,0,"april.2016"
"D04","Mountain_Lion",0,30,0,"april.2016"
