"Camera","Class","Count","Operation","RAI","TimePeriod"
"D12","Mountain_Lion",0,29,0,"april.2016"
"E05","Mountain_Lion",1,28,0.0357142857142857,"april.2016"
"E09","Mountain_Lion",0,30,0,"april.2016"
"E13","Mountain_Lion",0,29,0,"april.2016"
"E15","Mountain_Lion",0,22,0,"april.2016"
"F06","Mountain_Lion",0,28,0,"april.2016"
"F08","Mountain_Lion",0,30,0,"april.2016"
"F10","Mountain_Lion",0,28,0,"april.2016"
"A03","Raccoon",0,29,0,"april.2016"
"A13","Raccoon",0,18,0,"april.2016"
"B08","Raccoon",0,30,0,"april.2016"
"B10","Raccoon",0,30,0,"april.2016"
"B12","Raccoon",0,18,0,"april.2016"
"B14","Raccoon",0,18,0,"april.2016"
"C03","Raccoon",0,28,0,"april.2016"
"C07","Raccoon",0,23,0,"april.2016"
"C09","Raccoon",0,30,0,"april.2016"
"C11","Raccoon",0,29,0,"april.2016"
"D04","Raccoon",0,30,0,"april.2016"
"D12","Raccoon",0,29,0,"april.2016"
"E05","Raccoon",0,28,0,"april.2016"
"E09","Raccoon",0,30,0,"april.2016"
"E13","Raccoon",0,29,0,"april.2016"
"E15","Raccoon",0,22,0,"april.2016"
"F06","Raccoon",0,28,0,"april.2016"
"F08","Raccoon",0,30,0,"april.2016"
"F10","Raccoon",1,28,0.0357142857142857,"april.2016"
"A03","Sheep",0,29,0,"april.2016"
"A13","Sheep",0,18,0,"april.2016"
"B08","Sheep",0,30,0,"april.2016"
"B10","Sheep",0,30,0,"april.2016"
"B12","Sheep",0,18,0,"april.2016"
"B14","Sheep",0,18,0,"april.2016"
"C03","Sheep",0,28,0,"april.2016"
"C07","Sheep",0,23,0,"april.2016"
"C09","Sheep",0,30,0,"april.2016"
"C11","Sheep",31,29,1.06896551724138,"april.2016"
"D04","Sheep",0,30,0,"april.2016"
"D12","Sheep",0,29,0,"april.2016"
"E05","Sheep",0,28,0,"april.2016"
"E09","Sheep",0,30,0,"april.2016"
"E13","Sheep",10,29,0.344827586206897,"april.2016"
"E15","Sheep",0,22,0,"april.2016"
"F06","Sheep",0,28,0,"april.2016"
"F08","Sheep",0,30,0,"april.2016"
"F10","Sheep",0,28,0,"april.2016"
"A03","Skunk",0,29,0,"april.2016"
"A13","Skunk",0,18,0,"april.2016"
"B08","Skunk",0,30,0,"april.2016"
"B10","Skunk",0,30,0,"april.2016"
"B12","Skunk",0,18,0,"april.2016"
"B14","Skunk",0,18,0,"april.2016"
"C03","Skunk",1,28,0.0357142857142857,"april.2016"
"C07","Skunk",0,23,0,"april.2016"
"C09","Skunk",0,30,0,"april.2016"
"C11","Skunk",1,29,0.0344827586206897,"april.2016"
"D04","Skunk",0,30,0,"april.2016"
"D12","Skunk",1,29,0.0344827586206897,"april.2016"
"E05","Skunk",0,28,0,"april.2016"
"E09","Skunk",0,30,0,"april.2016"
"E13","Skunk",1,29,0.0344827586206897,"april.2016"
"E15","Skunk",0,22,0,"april.2016"
"F06","Skunk",0,28,0,"april.2016"
"F08","Skunk",0,30,0,"april.2016"
"F10","Skunk",1,28,0.0357142857142857,"april.2016"
"A03","Squirrel",6,29,0.206896551724138,"april.2016"
"A13","Squirrel",0,18,0,"april.2016"
"B08","Squirrel",0,30,0,"april.2016"
"B10","Squirrel",0,30,0,"april.2016"
"B12","Squirrel",0,18,0,"april.2016"
"B14","Squirrel",0,18,0,"april.2016"
"C03","Squirrel",0,28,0,"april.2016"
"C07","Squirrel",0,23,0,"april.2016"
"C09","Squirrel",0,30,0,"april.2016"
"C11","Squirrel",8,29,0.275862068965517,"april.2016"
"D04","Squirrel",0,30,0,"april.2016"
"D12","Squirrel",0,29,0,"april.2016"
"E05","Squirrel",0,28,0,"april.2016"
"E09","Squirrel",0,30,0,"april.2016"
"E13","Squirrel",0,29,0,"april.2016"
"E15","Squirrel",0,22,0,"april.2016"
"F06","Squirrel",0,28,0,"april.2016"
"F08","Squirrel",0,30,0,"april.2016"
"F10","Squirrel",0,28,0,"april.2016"
"A03","Turkey",1,29,0.0344827586206897,"april.2016"
"A13","Turkey",0,18,0,"april.2016"
"B08","Turkey",0,30,0,"april.2016"
"B10","Turkey",0,30,0,"april.2016"
"B12","Turkey",0,18,0,"april.2016"
"B14","Turkey",0,18,0,"april.2016"
"C03","Turkey",2,28,0.0714285714285714,"april.2016"
"C07","Turkey",0,23,0,"april.2016"
"C09","Turkey",0,30,0,"april.2016"
"C11","Turkey",0,29,0,"april.2016"
"D04","Turkey",0,30,0,"april.2016"
"D12","Turkey",0,29,0,"april.2016"
"E05","Turkey",0,28,0,"april.2016"
"E09","Turkey",0,30,0,"april.2016"
"E13","Turkey",0,29,0,"april.2016"
"E15","Turkey",0,22,0,"april.2016"
"F06","Turkey",0,28,0,"april.2016"
"F08","Turkey",0,30,0,"april.2016"
"F10","Turkey",1,28,0.0357142857142857,"april.2016"
"A03","Vehicle",0,29,0,"april.2016"
"A13","Vehicle",0,18,0,"april.2016"
"B08","Vehicle",0,30,0,"april.2016"
"B10","Vehicle",0,30,0,"april.2016"
"B12","Vehicle",0,18,0,"april.2016"
"B14","Vehicle",0,18,0,"april.2016"
"C03","Vehicle",11,28,0.392857142857143,"april.2016"
"C07","Vehicle",0,23,0,"april.2016"
"C09","Vehicle",0,30,0,"april.2016"
"C11","Vehicle",0,29,0,"april.2016"
"D04","Vehicle",0,30,0,"april.2016"
"D12","Vehicle",0,29,0,"april.2016"
"E05","Vehicle",0,28,0,"april.2016"
"E09","Vehicle",0,30,0,"april.2016"
"E13","Vehicle",0,29,0,"april.2016"
"E15","Vehicle",0,22,0,"april.2016"
"F06","Vehicle",0,28,0,"april.2016"
"F08","Vehicle",0,30,0,"april.2016"
"F10","Vehicle",0,28,0,"april.2016"
"A03","Deer_Doe",0,29,0,"april.2016"
"A13","Deer_Doe",0,18,0,"april.2016"
"B08","Deer_Doe",0,30,0,"april.2016"
"B10","Deer_Doe",0,30,0,"april.2016"
"B12","Deer_Doe",0,18,0,"april.2016"
"B14","Deer_Doe",0,18,0,"april.2016"
"C03","Deer_Doe",0,28,0,"april.2016"
"C07","Deer_Doe",0,23,0,"april.2016"
"C09","Deer_Doe",0,30,0,"april.2016"
"C11","Deer_Doe",0,29,0,"april.2016"
"D04","Deer_Doe",0,30,0,"april.2016"
"D12","Deer_Doe",0,29,0,"april.2016"
"E05","Deer_Doe",0,28,0,"april.2016"
"E09","Deer_Doe",0,30,0,"april.2016"
"E13","Deer_Doe",0,29,0,"april.2016"
"E15","Deer_Doe",0,22,0,"april.2016"
"F06","Deer_Doe",0,28,0,"april.2016"
"F08","Deer_Doe",0,30,0,"april.2016"
"F10","Deer_Doe",0,28,0,"april.2016"
"A03","Deer_Other",0,29,0,"april.2016"
"A13","Deer_Other",0,18,0,"april.2016"
"B08","Deer_Other",0,30,0,"april.2016"
"B10","Deer_Other",0,30,0,"april.2016"
"B12","Deer_Other",0,18,0,"april.2016"
"B14","Deer_Other",0,18,0,"april.2016"
"C03","Deer_Other",0,28,0,"april.2016"
"C07","Deer_Other",0,23,0,"april.2016"
"C09","Deer_Other",0,30,0,"april.2016"
"C11","Deer_Other",0,29,0,"april.2016"
"D04","Deer_Other",0,30,0,"april.2016"
"D12","Deer_Other",0,29,0,"april.2016"
"E05","Deer_Other",0,28,0,"april.2016"
"E09","Deer_Other",0,30,0,"april.2016"
"E13","Deer_Other",0,29,0,"april.2016"
"E15","Deer_Other",0,22,0,"april.2016"
"F06","Deer_Other",0,28,0,"april.2016"
"F08","Deer_Other",0,30,0,"april.2016"
"F10","Deer_Other",0,28,0,"april.2016"
"A03","Deer_Fawn",0,29,0,"april.2016"
"A13","Deer_Fawn",0,18,0,"april.2016"
"B08","Deer_Fawn",0,30,0,"april.2016"
"B10","Deer_Fawn",0,30,0,"april.2016"
"B12","Deer_Fawn",0,18,0,"april.2016"
"B14","Deer_Fawn",0,18,0,"april.2016"
"C03","Deer_Fawn",0,28,0,"april.2016"
"C07","Deer_Fawn",0,23,0,"april.2016"
"C09","Deer_Fawn",0,30,0,"april.2016"
"C11","Deer_Fawn",0,29,0,"april.2016"
"D04","Deer_Fawn",0,30,0,"april.2016"
"D12","Deer_Fawn",0,29,0,"april.2016"
"E05","Deer_Fawn",0,28,0,"april.2016"
"E09","Deer_Fawn",0,30,0,"april.2016"
"E13","Deer_Fawn",0,29,0,"april.2016"
"E15","Deer_Fawn",0,22,0,"april.2016"
"F06","Deer_Fawn",0,28,0,"april.2016"
"F08","Deer_Fawn",0,30,0,"april.2016"
"F10","Deer_Fawn",0,28,0,"april.2016"
"A03","Deer_Buck_Legal",0,29,0,"april.2016"
"A13","Deer_Buck_Legal",0,18,0,"april.2016"
"B08","Deer_Buck_Legal",0,30,0,"april.2016"
"B10","Deer_Buck_Legal",0,30,0,"april.2016"
"B12","Deer_Buck_Legal",0,18,0,"april.2016"
"B14","Deer_Buck_Legal",0,18,0,"april.2016"
"C03","Deer_Buck_Legal",0,28,0,"april.2016"
"C07","Deer_Buck_Legal",0,23,0,"april.2016"
"C09","Deer_Buck_Legal",0,30,0,"april.2016"
"C11","Deer_Buck_Legal",0,29,0,"april.2016"
"D04","Deer_Buck_Legal",0,30,0,"april.2016"
"D12","Deer_Buck_Legal",0,29,0,"april.2016"
"E05","Deer_Buck_Legal",0,28,0,"april.2016"
"E09","Deer_Buck_Legal",0,30,0,"april.2016"
"E13","Deer_Buck_Legal",0,29,0,"april.2016"
"E15","Deer_Buck_Legal",0,22,0,"april.2016"
"F06","Deer_Buck_Legal",0,28,0,"april.2016"
"F08","Deer_Buck_Legal",0,30,0,"april.2016"
"F10","Deer_Buck_Legal",0,28,0,"april.2016"
"A03","Deer_Buck_Spike",0,29,0,"april.2016"
"A13","Deer_Buck_Spike",0,18,0,"april.2016"
"B08","Deer_Buck_Spike",0,30,0,"april.2016"
"B10","Deer_Buck_Spike",0,30,0,"april.2016"
"B12","Deer_Buck_Spike",0,18,0,"april.2016"
"B14","Deer_Buck_Spike",0,18,0,"april.2016"
"C03","Deer_Buck_Spike",0,28,0,"april.2016"
"C07","Deer_Buck_Spike",0,23,0,"april.2016"
"C09","Deer_Buck_Spike",0,30,0,"april.2016"
"C11","Deer_Buck_Spike",0,29,0,"april.2016"
"D04","Deer_Buck_Spike",0,30,0,"april.2016"
"D12","Deer_Buck_Spike",0,29,0,"april.2016"
"E05","Deer_Buck_Spike",0,28,0,"april.2016"
"E09","Deer_Buck_Spike",0,30,0,"april.2016"
"E13","Deer_Buck_Spike",0,29,0,"april.2016"
"E15","Deer_Buck_Spike",0,22,0,"april.2016"
"F06","Deer_Buck_Spike",0,28,0,"april.2016"
"F08","Deer_Buck_Spike",0,30,0,"april.2016"
"F10","Deer_Buck_Spike",0,28,0,"april.2016"
"A03","Deer_Buck_Young_Button",0,29,0,"april.2016"
"A13","Deer_Buck_Young_Button",0,18,0,"april.2016"
"B08","Deer_Buck_Young_Button",0,30,0,"april.2016"
"B10","Deer_Buck_Young_Button",0,30,0,"april.2016"
"B12","Deer_Buck_Young_Button",0,18,0,"april.2016"
"B14","Deer_Buck_Young_Button",0,18,0,"april.2016"
"C03","Deer_Buck_Young_Button",0,28,0,"april.2016"
"C07","Deer_Buck_Young_Button",0,23,0,"april.2016"
"C09","Deer_Buck_Young_Button",0,30,0,"april.2016"
"C11","Deer_Buck_Young_Button",0,29,0,"april.2016"
"D04","Deer_Buck_Young_Button",0,30,0,"april.2016"
"D12","Deer_Buck_Young_Button",0,29,0,"april.2016"
"E05","Deer_Buck_Young_Button",0,28,0,"april.2016"
"E09","Deer_Buck_Young_Button",0,30,0,"april.2016"
"E13","Deer_Buck_Young_Button",0,29,0,"april.2016"
"E15","Deer_Buck_Young_Button",0,22,0,"april.2016"
"F06","Deer_Buck_Young_Button",0,28,0,"april.2016"
"F08","Deer_Buck_Young_Button",0,30,0,"april.2016"
"F10","Deer_Buck_Young_Button",0,28,0,"april.2016"
"A03","Deer_Buck_Antlerless",0,29,0,"april.2016"
"A13","Deer_Buck_Antlerless",0,18,0,"april.2016"
"B08","Deer_Buck_Antlerless",0,30,0,"april.2016"
"B10","Deer_Buck_Antlerless",0,30,0,"april.2016"
"B12","Deer_Buck_Antlerless",0,18,0,"april.2016"
"B14","Deer_Buck_Antlerless",0,18,0,"april.2016"
"C03","Deer_Buck_Antlerless",0,28,0,"april.2016"
"C07","Deer_Buck_Antlerless",0,23,0,"april.2016"
"C09","Deer_Buck_Antlerless",0,30,0,"april.2016"
"C11","Deer_Buck_Antlerless",0,29,0,"april.2016"
"D04","Deer_Buck_Antlerless",0,30,0,"april.2016"
"D12","Deer_Buck_Antlerless",0,29,0,"april.2016"
"E05","Deer_Buck_Antlerless",0,28,0,"april.2016"
"E09","Deer_Buck_Antlerless",0,30,0,"april.2016"
"E13","Deer_Buck_Antlerless",0,29,0,"april.2016"
"E15","Deer_Buck_Antlerless",0,22,0,"april.2016"
"F06","Deer_Buck_Antlerless",0,28,0,"april.2016"
"F08","Deer_Buck_Antlerless",0,30,0,"april.2016"
"F10","Deer_Buck_Antlerless",0,28,0,"april.2016"
"A03","Bear",0,29,0,"april.2016"
"A13","Bear",0,18,0,"april.2016"
"B08","Bear",0,30,0,"april.2016"
"B10","Bear",0,30,0,"april.2016"
"B12","Bear",0,18,0,"april.2016"
"B14","Bear",0,18,0,"april.2016"
"C03","Bear",0,28,0,"april.2016"
"C07","Bear",0,23,0,"april.2016"
"C09","Bear",0,30,0,"april.2016"
"C11","Bear",0,29,0,"april.2016"
"D04","Bear",0,30,0,"april.2016"
"D12","Bear",0,29,0,"april.2016"
"E05","Bear",0,28,0,"april.2016"
"E09","Bear",0,30,0,"april.2016"
"E13","Bear",0,29,0,"april.2016"
"E15","Bear",0,22,0,"april.2016"
"F06","Bear",0,28,0,"april.2016"
"F08","Bear",0,30,0,"april.2016"
"F10","Bear",0,28,0,"april.2016"
"A03","Pig",0,29,0,"april.2016"
"A13","Pig",0,18,0,"april.2016"
"B08","Pig",0,30,0,"april.2016"
"B10","Pig",0,30,0,"april.2016"
"B12","Pig",0,18,0,"april.2016"
"B14","Pig",0,18,0,"april.2016"
"C03","Pig",0,28,0,"april.2016"
"C07","Pig",0,23,0,"april.2016"
"C09","Pig",0,30,0,"april.2016"
"C11","Pig",0,29,0,"april.2016"
"D04","Pig",0,30,0,"april.2016"
"D12","Pig",0,29,0,"april.2016"
"E05","Pig",0,28,0,"april.2016"
"E09","Pig",0,30,0,"april.2016"
"E13","Pig",0,29,0,"april.2016"
"E15","Pig",0,22,0,"april.2016"
"F06","Pig",0,28,0,"april.2016"
"F08","Pig",0,30,0,"april.2016"
"F10","Pig",0,28,0,"april.2016"
"A03","Deer_Buck",0,29,0,"april.2016"
"A13","Deer_Buck",0,18,0,"april.2016"
"B08","Deer_Buck",0,30,0,"april.2016"
"B10","Deer_Buck",0,30,0,"april.2016"
"B12","Deer_Buck",0,18,0,"april.2016"
"B14","Deer_Buck",0,18,0,"april.2016"
"C03","Deer_Buck",0,28,0,"april.2016"
"C07","Deer_Buck",0,23,0,"april.2016"
"C09","Deer_Buck",0,30,0,"april.2016"
"C11","Deer_Buck",0,29,0,"april.2016"
"D04","Deer_Buck",0,30,0,"april.2016"
"D12","Deer_Buck",0,29,0,"april.2016"
"E05","Deer_Buck",0,28,0,"april.2016"
"E09","Deer_Buck",0,30,0,"april.2016"
"E13","Deer_Buck",0,29,0,"april.2016"
"E15","Deer_Buck",0,22,0,"april.2016"
"F06","Deer_Buck",0,28,0,"april.2016"
"F08","Deer_Buck",0,30,0,"april.2016"
"F10","Deer_Buck",0,28,0,"april.2016"
"A03","Deer",0,29,0,"april.2016"
"A13","Deer",0,18,0,"april.2016"
"B08","Deer",0,30,0,"april.2016"
"B10","Deer",0,30,0,"april.2016"
"B12","Deer",0,18,0,"april.2016"
"B14","Deer",0,18,0,"april.2016"
"C03","Deer",0,28,0,"april.2016"
"C07","Deer",0,23,0,"april.2016"
"C09","Deer",0,30,0,"april.2016"
"C11","Deer",0,29,0,"april.2016"
"D04","Deer",0,30,0,"april.2016"
"D12","Deer",0,29,0,"april.2016"
"E05","Deer",0,28,0,"april.2016"
"E09","Deer",0,30,0,"april.2016"
"E13","Deer",0,29,0,"april.2016"
"E15","Deer",0,22,0,"april.2016"
"F06","Deer",0,28,0,"april.2016"
"F08","Deer",0,30,0,"april.2016"
"F10","Deer",0,28,0,"april.2016"
